=========================================
Job ID          : 21074079
Node            : clx-a-02
PTM type        : acet_k
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Wed Mar  4 04:25:45 AM EST 2026
=========================================

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 021 | train_loss=0.0903 | val_loss=1.0677 | val_mcc=0.4669 | val_f1=0.7268
Epoch 022 | train_loss=0.0888 | val_loss=1.1255 | val_mcc=0.4610 | val_f1=0.7177
Epoch 023 | train_loss=0.0888 | val_loss=1.1347 | val_mcc=0.4627 | val_f1=0.7143
Epoch 024 | train_loss=0.0842 | val_loss=1.1413 | val_mcc=0.4531 | val_f1=0.7011
Epoch 025 | train_loss=0.0856 | val_loss=1.1416 | val_mcc=0.4678 | val_f1=0.7278
Epoch 026 | train_loss=0.0806 | val_loss=1.1102 | val_mcc=0.4648 | val_f1=0.7138
Epoch 027 | train_loss=0.0787 | val_loss=1.2285 | val_mcc=0.4633 | val_f1=0.7128
Epoch 028 | train_loss=0.0797 | val_loss=1.0936 | val_mcc=0.4588 | val_f1=0.7146
Epoch 029 | train_loss=0.0783 | val_loss=1.2437 | val_mcc=0.4501 | val_f1=0.7072
Epoch 030 | train_loss=0.0760 | val_loss=1.2752 | val_mcc=0.4452 | val_f1=0.6918
Epoch 031 | train_loss=0.0758 | val_loss=1.0692 | val_mcc=0.4524 | val_f1=0.7040
Epoch 032 | train_loss=0.0734 | val_loss=1.1795 | val_mcc=0.4479 | val_f1=0.7124
Epoch 033 | train_loss=0.0728 | val_loss=1.1009 | val_mcc=0.4596 | val_f1=0.7200
Epoch 034 | train_loss=0.0692 | val_loss=1.1175 | val_mcc=0.4459 | val_f1=0.7064
Epoch 035 | train_loss=0.0672 | val_loss=1.2511 | val_mcc=0.4561 | val_f1=0.7172
Best model saved to: classifier_runs/acet_k/cnn_gru/20260304_051416/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=2. Run dir: classifier_runs/acet_k/cnn_gru/20260304_051416

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=3, epochs=35 ===
Epoch 001 | train_loss=0.6596 | val_loss=0.6386 | val_mcc=0.2719 | val_f1=0.6554
Epoch 002 | train_loss=0.6231 | val_loss=0.6062 | val_mcc=0.3296 | val_f1=0.6331
Epoch 003 | train_loss=0.5798 | val_loss=0.5750 | val_mcc=0.3811 | val_f1=0.6428
Epoch 004 | train_loss=0.5353 | val_loss=0.5726 | val_mcc=0.4125 | val_f1=0.6970
Epoch 005 | train_loss=0.4819 | val_loss=0.5609 | val_mcc=0.4376 | val_f1=0.6998
Epoch 006 | train_loss=0.4150 | val_loss=0.6043 | val_mcc=0.4501 | val_f1=0.7073
Epoch 007 | train_loss=0.3514 | val_loss=0.6529 | val_mcc=0.4367 | val_f1=0.6808
Epoch 008 | train_loss=0.2905 | val_loss=0.6590 | val_mcc=0.4478 | val_f1=0.7163
Epoch 009 | train_loss=0.2441 | val_loss=0.7117 | val_mcc=0.4554 | val_f1=0.7043
Epoch 010 | train_loss=0.2110 | val_loss=0.7310 | val_mcc=0.4398 | val_f1=0.7138
Epoch 011 | train_loss=0.1872 | val_loss=0.7772 | val_mcc=0.4509 | val_f1=0.7244
Epoch 012 | train_loss=0.1683 | val_loss=0.7760 | val_mcc=0.4384 | val_f1=0.6727
Epoch 013 | train_loss=0.1534 | val_loss=0.8182 | val_mcc=0.4659 | val_f1=0.7313
Epoch 014 | train_loss=0.1415 | val_loss=0.9038 | val_mcc=0.4501 | val_f1=0.7197
Epoch 015 | train_loss=0.1370 | val_loss=0.9207 | val_mcc=0.4491 | val_f1=0.7120
