=========================================
Job ID          : 21101498
Node            : skl-a-30
PTM type        : met_r
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Fri Mar 20 11:15:27 AM EDT 2026
=========================================
===== Starting hyperparameter search for PTM_TYPE=met_r =====

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 021 | train_loss=0.0863 | val_loss=1.2811 | val_mcc=0.4515 | val_f1=0.5540
Epoch 022 | train_loss=0.0782 | val_loss=1.4301 | val_mcc=0.4508 | val_f1=0.5486
Epoch 023 | train_loss=0.0741 | val_loss=1.1922 | val_mcc=0.4626 | val_f1=0.5599
Epoch 024 | train_loss=0.0778 | val_loss=1.1311 | val_mcc=0.4435 | val_f1=0.5473
Epoch 025 | train_loss=0.0735 | val_loss=1.2252 | val_mcc=0.4483 | val_f1=0.5455
Epoch 026 | train_loss=0.0703 | val_loss=1.6702 | val_mcc=0.4713 | val_f1=0.5630
Epoch 027 | train_loss=0.0635 | val_loss=1.5261 | val_mcc=0.4637 | val_f1=0.5599
Epoch 028 | train_loss=0.0666 | val_loss=1.6766 | val_mcc=0.4575 | val_f1=0.5531
Epoch 029 | train_loss=0.0683 | val_loss=1.4533 | val_mcc=0.4568 | val_f1=0.5555
Epoch 030 | train_loss=0.0694 | val_loss=1.2603 | val_mcc=0.4696 | val_f1=0.5621
Epoch 031 | train_loss=0.0668 | val_loss=1.2754 | val_mcc=0.4559 | val_f1=0.5523
Epoch 032 | train_loss=0.0630 | val_loss=1.2953 | val_mcc=0.4390 | val_f1=0.5440
Epoch 033 | train_loss=0.0620 | val_loss=1.9168 | val_mcc=0.4843 | val_f1=0.5639
Epoch 034 | train_loss=0.0663 | val_loss=1.3333 | val_mcc=0.4654 | val_f1=0.5612
Epoch 035 | train_loss=0.0584 | val_loss=1.5642 | val_mcc=0.4612 | val_f1=0.5610
Best model saved to: classifier_runs/met_r/cnn_gru/20260320_114841/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=2. Run dir: classifier_runs/met_r/cnn_gru/20260320_114841

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=3, epochs=35 ===
Epoch 001 | train_loss=0.6239 | val_loss=0.6035 | val_mcc=0.2928 | val_f1=0.4342
Epoch 002 | train_loss=0.5893 | val_loss=0.5844 | val_mcc=0.3203 | val_f1=0.4539
Epoch 003 | train_loss=0.5684 | val_loss=0.5724 | val_mcc=0.3410 | val_f1=0.4648
Epoch 004 | train_loss=0.5439 | val_loss=0.5663 | val_mcc=0.3097 | val_f1=0.4405
Epoch 005 | train_loss=0.5054 | val_loss=0.5512 | val_mcc=0.3580 | val_f1=0.4820
Epoch 006 | train_loss=0.4676 | val_loss=0.5703 | val_mcc=0.3443 | val_f1=0.4705
Epoch 007 | train_loss=0.4173 | val_loss=0.5431 | val_mcc=0.3678 | val_f1=0.4886
Epoch 008 | train_loss=0.3592 | val_loss=0.5652 | val_mcc=0.3952 | val_f1=0.5103
Epoch 009 | train_loss=0.3017 | val_loss=0.6492 | val_mcc=0.4063 | val_f1=0.5193
Epoch 010 | train_loss=0.2587 | val_loss=0.6612 | val_mcc=0.4143 | val_f1=0.5215
Epoch 011 | train_loss=0.2209 | val_loss=0.8645 | val_mcc=0.4362 | val_f1=0.5402
Epoch 012 | train_loss=0.1948 | val_loss=0.8557 | val_mcc=0.4289 | val_f1=0.5311
Epoch 013 | train_loss=0.1768 | val_loss=0.9355 | val_mcc=0.4208 | val_f1=0.5302
Epoch 014 | train_loss=0.1585 | val_loss=0.8060 | val_mcc=0.4301 | val_f1=0.5364
Epoch 015 | train_loss=0.1482 | val_loss=0.9147 | val_mcc=0.4234 | val_f1=0.5321
Epoch 016 | train_loss=0.1381 | val_loss=0.9139 | val_mcc=0.4270 | val_f1=0.5304
Epoch 017 | train_loss=0.1322 | val_loss=0.9527 | val_mcc=0.4323 | val_f1=0.5348
Epoch 018 | train_loss=0.1243 | val_loss=0.8851 | val_mcc=0.3996 | val_f1=0.5141
Epoch 019 | train_loss=0.1274 | val_loss=1.0650 | val_mcc=0.4321 | val_f1=0.5348
Epoch 020 | train_loss=0.1149 | val_loss=0.8973 | val_mcc=0.4233 | val_f1=0.5298
Epoch 021 | train_loss=0.1035 | val_loss=1.4152 | val_mcc=0.4473 | val_f1=0.5441
Epoch 022 | train_loss=0.0992 | val_loss=1.1357 | val_mcc=0.4307 | val_f1=0.5371
Epoch 023 | train_loss=0.1033 | val_loss=1.1485 | val_mcc=0.4409 | val_f1=0.5404
Epoch 024 | train_loss=0.1038 | val_loss=1.1640 | val_mcc=0.4484 | val_f1=0.5476
Epoch 025 | train_loss=0.1033 | val_loss=1.2314 | val_mcc=0.4372 | val_f1=0.5338
Epoch 026 | train_loss=0.1054 | val_loss=0.9278 | val_mcc=0.4371 | val_f1=0.5404
Epoch 027 | train_loss=0.0925 | val_loss=1.2612 | val_mcc=0.4299 | val_f1=0.5323
Epoch 028 | train_loss=0.0927 | val_loss=0.8397 | val_mcc=0.4367 | val_f1=0.5419
Epoch 029 | train_loss=0.0986 | val_loss=0.9703 | val_mcc=0.4424 | val_f1=0.5394
Epoch 030 | train_loss=0.0873 | val_loss=1.4237 | val_mcc=0.4511 | val_f1=0.5473
Epoch 031 | train_loss=0.0789 | val_loss=1.2849 | val_mcc=0.4367 | val_f1=0.5343
Epoch 032 | train_loss=0.0764 | val_loss=1.2938 | val_mcc=0.4507 | val_f1=0.5518
Epoch 033 | train_loss=0.0831 | val_loss=1.5450 | val_mcc=0.4426 | val_f1=0.5406
Epoch 034 | train_loss=0.0742 | val_loss=1.3023 | val_mcc=0.4526 | val_f1=0.5419
Epoch 035 | train_loss=0.0807 | val_loss=1.3178 | val_mcc=0.4405 | val_f1=0.5343
Best model saved to: classifier_runs/met_r/cnn_gru/20260320_122016/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=3. Run dir: classifier_runs/met_r/cnn_gru/20260320_122016

=== Running config: model=cnn_gru, conv_layers=2, rnn_layers=1, epochs=35 ===
Epoch 001 | train_loss=0.6142 | val_loss=0.5793 | val_mcc=0.3188 | val_f1=0.4534
Epoch 002 | train_loss=0.5626 | val_loss=0.5564 | val_mcc=0.3640 | val_f1=0.4865
Epoch 003 | train_loss=0.5123 | val_loss=0.5541 | val_mcc=0.4039 | val_f1=0.5170
Epoch 004 | train_loss=0.4490 | val_loss=0.5370 | val_mcc=0.4141 | val_f1=0.5236
Epoch 005 | train_loss=0.3771 | val_loss=0.5413 | val_mcc=0.4013 | val_f1=0.5139
Epoch 006 | train_loss=0.3124 | val_loss=0.5793 | val_mcc=0.4340 | val_f1=0.5403
Epoch 007 | train_loss=0.2573 | val_loss=0.6094 | val_mcc=0.4274 | val_f1=0.5355
Epoch 008 | train_loss=0.2136 | val_loss=0.6831 | val_mcc=0.4514 | val_f1=0.5537
Epoch 009 | train_loss=0.1876 | val_loss=0.9286 | val_mcc=0.4680 | val_f1=0.5624
Epoch 010 | train_loss=0.1711 | val_loss=0.8225 | val_mcc=0.4614 | val_f1=0.5614
Epoch 011 | train_loss=0.1526 | val_loss=0.7639 | val_mcc=0.4307 | val_f1=0.5383
Epoch 012 | train_loss=0.1388 | val_loss=0.9435 | val_mcc=0.4586 | val_f1=0.5553
Epoch 013 | train_loss=0.1306 | val_loss=1.0218 | val_mcc=0.4588 | val_f1=0.5535
Epoch 014 | train_loss=0.1190 | val_loss=0.9604 | val_mcc=0.4581 | val_f1=0.5572
Epoch 015 | train_loss=0.1115 | val_loss=1.0564 | val_mcc=0.4590 | val_f1=0.5590
Epoch 016 | train_loss=0.1122 | val_loss=1.2252 | val_mcc=0.4760 | val_f1=0.5617
Epoch 017 | train_loss=0.1076 | val_loss=1.1875 | val_mcc=0.4666 | val_f1=0.5538
Epoch 018 | train_loss=0.0995 | val_loss=1.0705 | val_mcc=0.4671 | val_f1=0.5610
Epoch 019 | train_loss=0.0948 | val_loss=1.1102 | val_mcc=0.4804 | val_f1=0.5711
Epoch 020 | train_loss=0.0927 | val_loss=1.0785 | val_mcc=0.4576 | val_f1=0.5557
Epoch 021 | train_loss=0.0936 | val_loss=1.1924 | val_mcc=0.4677 | val_f1=0.5606
Epoch 022 | train_loss=0.0820 | val_loss=1.4659 | val_mcc=0.4447 | val_f1=0.5406
Epoch 023 | train_loss=0.0838 | val_loss=1.2387 | val_mcc=0.4453 | val_f1=0.5473
Epoch 024 | train_loss=0.0848 | val_loss=1.0906 | val_mcc=0.4591 | val_f1=0.5591
Epoch 025 | train_loss=0.0784 | val_loss=1.5493 | val_mcc=0.4756 | val_f1=0.5676
Epoch 026 | train_loss=0.0795 | val_loss=1.3083 | val_mcc=0.4650 | val_f1=0.5622
Epoch 027 | train_loss=0.0782 | val_loss=1.1942 | val_mcc=0.4741 | val_f1=0.5651
Epoch 028 | train_loss=0.0745 | val_loss=1.0370 | val_mcc=0.4747 | val_f1=0.5633
Epoch 029 | train_loss=0.0769 | val_loss=1.2444 | val_mcc=0.4845 | val_f1=0.5769
Epoch 030 | train_loss=0.0693 | val_loss=1.2372 | val_mcc=0.4838 | val_f1=0.5752
Epoch 031 | train_loss=0.0629 | val_loss=1.6317 | val_mcc=0.4767 | val_f1=0.5580
Epoch 032 | train_loss=0.0671 | val_loss=1.3025 | val_mcc=0.4655 | val_f1=0.5625
Epoch 033 | train_loss=0.0710 | val_loss=1.0540 | val_mcc=0.4742 | val_f1=0.5713
Epoch 034 | train_loss=0.0676 | val_loss=1.2969 | val_mcc=0.4650 | val_f1=0.5602
Epoch 035 | train_loss=0.0631 | val_loss=1.3922 | val_mcc=0.4721 | val_f1=0.5642
Best model saved to: classifier_runs/met_r/cnn_gru/20260320_124912/model_best.pt
Finished config: model=cnn_gru, conv_layers=2, rnn_layers=1. Run dir: classifier_runs/met_r/cnn_gru/20260320_124912

=== Running config: model=cnn_gru, conv_layers=2, rnn_layers=2, epochs=35 ===
Epoch 001 | train_loss=0.6223 | val_loss=0.6013 | val_mcc=0.2903 | val_f1=0.4306
Epoch 002 | train_loss=0.5860 | val_loss=0.5889 | val_mcc=0.2965 | val_f1=0.4266
Epoch 003 | train_loss=0.5571 | val_loss=0.5591 | val_mcc=0.3458 | val_f1=0.4725
Epoch 004 | train_loss=0.5195 | val_loss=0.5531 | val_mcc=0.3307 | val_f1=0.4558
Epoch 005 | train_loss=0.4718 | val_loss=0.5936 | val_mcc=0.3871 | val_f1=0.5044
Epoch 006 | train_loss=0.4171 | val_loss=0.5675 | val_mcc=0.4080 | val_f1=0.5185
Epoch 007 | train_loss=0.3603 | val_loss=0.5835 | val_mcc=0.4049 | val_f1=0.5183
Epoch 008 | train_loss=0.3127 | val_loss=0.5779 | val_mcc=0.4291 | val_f1=0.5347
Epoch 009 | train_loss=0.2701 | val_loss=0.6911 | val_mcc=0.4232 | val_f1=0.5285
Epoch 010 | train_loss=0.2341 | val_loss=0.7268 | val_mcc=0.4251 | val_f1=0.5323
Epoch 011 | train_loss=0.2040 | val_loss=0.8475 | val_mcc=0.4450 | val_f1=0.5442
Epoch 012 | train_loss=0.1812 | val_loss=0.9830 | val_mcc=0.4389 | val_f1=0.5374
Epoch 013 | train_loss=0.1635 | val_loss=0.9192 | val_mcc=0.4503 | val_f1=0.5489
Epoch 014 | train_loss=0.1513 | val_loss=0.9994 | val_mcc=0.4515 | val_f1=0.5470
Epoch 015 | train_loss=0.1414 | val_loss=1.0293 | val_mcc=0.4480 | val_f1=0.5463
Epoch 016 | train_loss=0.1383 | val_loss=1.3495 | val_mcc=0.4529 | val_f1=0.5466
Epoch 017 | train_loss=0.1242 | val_loss=1.0682 | val_mcc=0.4552 | val_f1=0.5450
Epoch 018 | train_loss=0.1193 | val_loss=1.0617 | val_mcc=0.4510 | val_f1=0.5411
Epoch 019 | train_loss=0.1149 | val_loss=1.7103 | val_mcc=0.4635 | val_f1=0.5374
Epoch 020 | train_loss=0.1079 | val_loss=1.2339 | val_mcc=0.4487 | val_f1=0.5346
