=========================================
Job ID          : 21101499
Node            : skl-a-45
PTM type        : phos_y
Model types     : cnn_gru cnn_bilstm
Conv layers list: 1 2 3
RNN layers list : 1 2 3
Started at      : Fri Mar 20 11:15:49 PM EDT 2026
=========================================
===== Starting hyperparameter search for PTM_TYPE=phos_y =====

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=1, epochs=35 ===
Epoch 021 | train_loss=0.0681 | val_loss=1.2992 | val_mcc=0.4105 | val_f1=0.5210
Epoch 022 | train_loss=0.0653 | val_loss=1.2838 | val_mcc=0.4045 | val_f1=0.5166
Epoch 023 | train_loss=0.0650 | val_loss=1.2503 | val_mcc=0.4031 | val_f1=0.5173
Epoch 024 | train_loss=0.0654 | val_loss=1.6666 | val_mcc=0.4221 | val_f1=0.5235
Epoch 025 | train_loss=0.0642 | val_loss=1.6135 | val_mcc=0.4263 | val_f1=0.5325
Epoch 026 | train_loss=0.0603 | val_loss=1.7647 | val_mcc=0.4284 | val_f1=0.5305
Epoch 027 | train_loss=0.0602 | val_loss=1.3243 | val_mcc=0.4235 | val_f1=0.5260
Epoch 028 | train_loss=0.0577 | val_loss=1.5985 | val_mcc=0.4222 | val_f1=0.5274
Epoch 029 | train_loss=0.0579 | val_loss=1.5531 | val_mcc=0.4192 | val_f1=0.5197
Epoch 030 | train_loss=0.0591 | val_loss=1.3486 | val_mcc=0.4120 | val_f1=0.5179
Epoch 031 | train_loss=0.0568 | val_loss=1.5197 | val_mcc=0.4128 | val_f1=0.5196
Epoch 032 | train_loss=0.0527 | val_loss=1.5353 | val_mcc=0.4198 | val_f1=0.5271
Epoch 033 | train_loss=0.0505 | val_loss=1.9616 | val_mcc=0.4243 | val_f1=0.5196
Epoch 034 | train_loss=0.0521 | val_loss=1.4275 | val_mcc=0.4251 | val_f1=0.5284
Epoch 035 | train_loss=0.0525 | val_loss=1.6090 | val_mcc=0.4211 | val_f1=0.5204
Best model saved to: classifier_runs/phos_y/cnn_gru/20260320_235900/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=2. Run dir: classifier_runs/phos_y/cnn_gru/20260320_235900

=== Running config: model=cnn_gru, conv_layers=1, rnn_layers=3, epochs=35 ===
Epoch 001 | train_loss=0.6234 | val_loss=0.6051 | val_mcc=0.2475 | val_f1=0.3943
Epoch 002 | train_loss=0.5801 | val_loss=0.5913 | val_mcc=0.3213 | val_f1=0.4521
Epoch 003 | train_loss=0.5514 | val_loss=0.5887 | val_mcc=0.3413 | val_f1=0.4722
Epoch 004 | train_loss=0.5061 | val_loss=0.5586 | val_mcc=0.3584 | val_f1=0.4826
Epoch 005 | train_loss=0.4492 | val_loss=0.5411 | val_mcc=0.3794 | val_f1=0.5011
Epoch 006 | train_loss=0.3880 | val_loss=0.6554 | val_mcc=0.3782 | val_f1=0.5002
Epoch 007 | train_loss=0.3232 | val_loss=0.5806 | val_mcc=0.3924 | val_f1=0.5087
Epoch 008 | train_loss=0.2620 | val_loss=0.7456 | val_mcc=0.3934 | val_f1=0.5115
Epoch 009 | train_loss=0.2158 | val_loss=0.7908 | val_mcc=0.3919 | val_f1=0.5085
Epoch 010 | train_loss=0.1839 | val_loss=0.9688 | val_mcc=0.3959 | val_f1=0.5131
Epoch 011 | train_loss=0.1655 | val_loss=0.9968 | val_mcc=0.3795 | val_f1=0.5015
Epoch 012 | train_loss=0.1446 | val_loss=1.0769 | val_mcc=0.4006 | val_f1=0.5164
Epoch 013 | train_loss=0.1307 | val_loss=1.0800 | val_mcc=0.4049 | val_f1=0.5203
Epoch 014 | train_loss=0.1194 | val_loss=0.8328 | val_mcc=0.3991 | val_f1=0.5164
Epoch 015 | train_loss=0.1111 | val_loss=0.9937 | val_mcc=0.4046 | val_f1=0.5128
Epoch 016 | train_loss=0.1070 | val_loss=1.0657 | val_mcc=0.4004 | val_f1=0.5160
Epoch 017 | train_loss=0.1005 | val_loss=1.0653 | val_mcc=0.4090 | val_f1=0.5222
Epoch 018 | train_loss=0.0986 | val_loss=0.9016 | val_mcc=0.4019 | val_f1=0.5167
Epoch 019 | train_loss=0.0934 | val_loss=1.6086 | val_mcc=0.4021 | val_f1=0.4988
Epoch 020 | train_loss=0.0913 | val_loss=1.2521 | val_mcc=0.4109 | val_f1=0.5244
Epoch 021 | train_loss=0.0817 | val_loss=1.0503 | val_mcc=0.4012 | val_f1=0.5080
Epoch 022 | train_loss=0.0785 | val_loss=1.2928 | val_mcc=0.4170 | val_f1=0.5176
Epoch 023 | train_loss=0.0799 | val_loss=1.9805 | val_mcc=0.3774 | val_f1=0.4834
Epoch 024 | train_loss=0.0809 | val_loss=1.2114 | val_mcc=0.3776 | val_f1=0.4970
Epoch 025 | train_loss=0.0759 | val_loss=1.4698 | val_mcc=0.4012 | val_f1=0.5115
Epoch 026 | train_loss=0.0751 | val_loss=1.5433 | val_mcc=0.4002 | val_f1=0.5140
Epoch 027 | train_loss=0.0697 | val_loss=1.5302 | val_mcc=0.4118 | val_f1=0.5217
Epoch 028 | train_loss=0.0710 | val_loss=1.5840 | val_mcc=0.4034 | val_f1=0.5010
Epoch 029 | train_loss=0.0684 | val_loss=1.5682 | val_mcc=0.4320 | val_f1=0.5273
Epoch 030 | train_loss=0.0664 | val_loss=1.3336 | val_mcc=0.4129 | val_f1=0.5263
Epoch 031 | train_loss=0.0641 | val_loss=1.3303 | val_mcc=0.4043 | val_f1=0.5098
Epoch 032 | train_loss=0.0667 | val_loss=1.2286 | val_mcc=0.3895 | val_f1=0.5077
Epoch 033 | train_loss=0.0703 | val_loss=1.2054 | val_mcc=0.4047 | val_f1=0.5094
Epoch 034 | train_loss=0.0605 | val_loss=1.5766 | val_mcc=0.3944 | val_f1=0.5051
Epoch 035 | train_loss=0.0658 | val_loss=1.1662 | val_mcc=0.4057 | val_f1=0.5213
Best model saved to: classifier_runs/phos_y/cnn_gru/20260321_003559/model_best.pt
Finished config: model=cnn_gru, conv_layers=1, rnn_layers=3. Run dir: classifier_runs/phos_y/cnn_gru/20260321_003559

=== Running config: model=cnn_gru, conv_layers=2, rnn_layers=1, epochs=35 ===
Epoch 001 | train_loss=0.6471 | val_loss=0.5949 | val_mcc=0.2934 | val_f1=0.4369
Epoch 002 | train_loss=0.5776 | val_loss=0.5657 | val_mcc=0.3282 | val_f1=0.4555
Epoch 003 | train_loss=0.5302 | val_loss=0.5616 | val_mcc=0.3506 | val_f1=0.4728
Epoch 004 | train_loss=0.4777 | val_loss=0.5523 | val_mcc=0.3400 | val_f1=0.4638
Epoch 005 | train_loss=0.4100 | val_loss=0.5847 | val_mcc=0.3878 | val_f1=0.5078
Epoch 006 | train_loss=0.3456 | val_loss=0.6297 | val_mcc=0.3830 | val_f1=0.5037
Epoch 007 | train_loss=0.2847 | val_loss=0.7375 | val_mcc=0.3835 | val_f1=0.5045
Epoch 008 | train_loss=0.2345 | val_loss=0.8316 | val_mcc=0.4003 | val_f1=0.5166
Epoch 009 | train_loss=0.2072 | val_loss=0.9078 | val_mcc=0.4004 | val_f1=0.5126
Epoch 010 | train_loss=0.1786 | val_loss=0.9535 | val_mcc=0.3880 | val_f1=0.5009
Epoch 011 | train_loss=0.1610 | val_loss=0.8768 | val_mcc=0.3912 | val_f1=0.5062
Epoch 012 | train_loss=0.1410 | val_loss=0.9447 | val_mcc=0.4107 | val_f1=0.5138
Epoch 013 | train_loss=0.1323 | val_loss=0.8496 | val_mcc=0.4020 | val_f1=0.5137
Epoch 014 | train_loss=0.1237 | val_loss=1.2183 | val_mcc=0.4204 | val_f1=0.5278
Epoch 015 | train_loss=0.1117 | val_loss=1.3032 | val_mcc=0.4200 | val_f1=0.5182
Epoch 016 | train_loss=0.1075 | val_loss=1.1660 | val_mcc=0.4092 | val_f1=0.5208
Epoch 017 | train_loss=0.1028 | val_loss=1.5456 | val_mcc=0.4122 | val_f1=0.4961
Epoch 018 | train_loss=0.0988 | val_loss=1.4194 | val_mcc=0.3961 | val_f1=0.4966
Epoch 019 | train_loss=0.0901 | val_loss=1.2695 | val_mcc=0.4093 | val_f1=0.5155
Epoch 020 | train_loss=0.0884 | val_loss=1.6970 | val_mcc=0.3925 | val_f1=0.4825
Epoch 021 | train_loss=0.0866 | val_loss=1.1895 | val_mcc=0.4092 | val_f1=0.5121
Epoch 022 | train_loss=0.0851 | val_loss=1.4330 | val_mcc=0.4075 | val_f1=0.5080
Epoch 023 | train_loss=0.0843 | val_loss=1.3869 | val_mcc=0.4035 | val_f1=0.5062
Epoch 024 | train_loss=0.0766 | val_loss=1.3526 | val_mcc=0.4085 | val_f1=0.5041
Epoch 025 | train_loss=0.0735 | val_loss=1.6167 | val_mcc=0.4204 | val_f1=0.5106
Epoch 026 | train_loss=0.0729 | val_loss=1.5263 | val_mcc=0.4041 | val_f1=0.5125
Epoch 027 | train_loss=0.0704 | val_loss=1.2825 | val_mcc=0.3944 | val_f1=0.4899
Epoch 028 | train_loss=0.0690 | val_loss=1.4640 | val_mcc=0.3968 | val_f1=0.5062
Epoch 029 | train_loss=0.0686 | val_loss=1.7367 | val_mcc=0.4131 | val_f1=0.5042
Epoch 030 | train_loss=0.0684 | val_loss=1.5579 | val_mcc=0.4072 | val_f1=0.4991
Epoch 031 | train_loss=0.0644 | val_loss=1.3728 | val_mcc=0.4084 | val_f1=0.5060
Epoch 032 | train_loss=0.0637 | val_loss=1.5806 | val_mcc=0.3996 | val_f1=0.4892
Epoch 033 | train_loss=0.0638 | val_loss=1.3381 | val_mcc=0.4139 | val_f1=0.5025
Epoch 034 | train_loss=0.0605 | val_loss=1.4021 | val_mcc=0.3962 | val_f1=0.4993
